date,source,target
2010-11-08,2,402
2010-11-08,10,271
2010-11-08,10,970
2010-11-08,113,54
2010-11-10,54,119
2010-11-10,119,2
2010-11-10,119,54
2010-11-10,119,271
2010-11-10,119,471
2010-11-11,168,74
2010-11-12,271,2
2010-11-12,271,54
2010-11-12,271,113
2010-11-12,271,119
2010-11-12,271,471
2010-11-13,37,474
2010-11-13,474,37
2010-11-14,37,113
2010-11-14,54,37
2010-11-14,113,37
2010-11-15,10,168
2010-11-15,168,10
2010-11-15,168,439
2010-11-18,10,99
2010-11-18,99,10
2010-11-19,37,1632
2010-11-19,1632,37
2010-11-20,1127,113
2010-11-23,10,2
2010-11-25,2,1127
2010-11-25,1127,2
2010-11-26,4,113
2010-11-26,113,4
2010-11-28,2,168
2010-11-29,1,113
2010-11-29,2,10
2010-11-29,2,1632
2010-11-29,1632,2
2010-11-30,1,2
2010-11-30,121,505
2010-11-30,505,121
2010-12-01,168,2
2010-12-02,471,2
2010-12-03,4,99
2010-12-04,505,7424
2010-12-04,7424,505
2010-12-05,91,4
2010-12-05,91,297
2010-12-05,91,7424
2010-12-05,7424,91
2010-12-06,74,168
2010-12-06,74,312
2010-12-07,4,10
2010-12-07,10,4
2010-12-11,99,238
2010-12-11,99,2473
2010-12-11,238,99
2010-12-11,297,91
2010-12-11,2473,99
2010-12-12,40,121
2010-12-12,121,40
2010-12-13,119,121
2010-12-13,121,119
2010-12-14,4,121
2010-12-14,121,4
2010-12-18,99,4
2010-12-19,37,31
2010-12-19,91,119
2010-12-19,119,91
2010-12-20,37,7400
2010-12-20,7400,37
2010-12-20,7400,54
2010-12-21,2,710
2010-12-21,710,2
2010-12-24,119,4
2010-12-27,1,625
2010-12-27,1,744
2010-12-27,4,439
2010-12-27,91,625
2010-12-27,439,4
2010-12-27,625,1
2010-12-27,625,91
2010-12-28,37,380
2010-12-28,40,1401
2010-12-29,4,312
2010-12-29,4,1209
2010-12-29,74,1127
2010-12-29,917,45
2010-12-29,1127,74
2010-12-29,1209,4
2010-12-29,7400,293
2010-12-30,2,512
2010-12-30,512,2
2010-12-31,23,40
2010-12-31,23,512
2010-12-31,31,37
2010-12-31,40,23
2010-12-31,512,23
2011-01-01,45,917
2011-01-01,74,625
2011-01-01,625,74
2011-01-03,2,917
2011-01-03,37,40
2011-01-03,40,37
2011-01-03,917,2
2011-01-04,45,251
2011-01-04,439,625
2011-01-04,625,439
2011-01-05,40,44
2011-01-05,40,2891
2011-01-05,44,40
2011-01-05,625,7552
2011-01-05,2891,40
2011-01-05,7552,625
2011-01-09,40,744
2011-01-09,712,744
2011-01-09,744,1
2011-01-09,744,40
2011-01-09,744,712
2011-01-10,91,168
2011-01-10,168,91
2011-01-11,744,249
2011-01-12,249,744
2011-01-13,402,1115
2011-01-13,501,4
2011-01-13,625,1469
2011-01-13,1115,402
2011-01-13,1469,625
2011-01-14,402,744
2011-01-14,744,402
2011-01-16,2,436
2011-01-16,436,2
2011-01-16,768,436
2011-01-18,768,23
2011-01-19,37,91
2011-01-19,40,989
2011-01-19,91,37
2011-01-20,380,37
2011-01-21,23,1087
2011-01-21,1087,23
2011-01-22,917,1115
2011-01-22,1115,917
2011-01-24,4,532
2011-01-24,532,4
2011-01-25,40,379
2011-01-25,40,917
2011-01-25,917,40
2011-01-26,4,446
2011-01-26,45,389
2011-01-26,74,4
2011-01-26,389,45
2011-01-26,446,4
2011-01-27,23,389
